,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Solar_Elevation,Pressure,Solar_hour_angle,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Azi_anlge,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-09 23:30:00,83.0,9.6,0.5,1003.0,n,0.0,-47.62,1002.1,-90.0,25.8,0.0,0.0,220.0,0.0,0.0,35.4,336.71,29.0,0.0,43.0,c03n,803,Broken clouds,765.4141329408001
2019-07-10 00:30:00,88.0,10.0,0.5,1003.0,n,0.0,-50.89,1002.1,-90.0,26.8,0.0,0.0,220.0,0.0,0.0,36.6,357.46,29.0,0.1,43.0,c03n,803,Broken clouds,865.1328
2019-07-10 01:30:00,88.0,10.0,0.5,1002.0,n,0.0,-48.83,1001.1,-90.0,25.8,0.0,0.0,210.0,0.0,0.0,33.4,18.82,28.0,0.1,42.0,c03n,803,Broken clouds,865.1328
2019-07-10 02:30:00,88.0,10.4,1.0,1002.0,n,0.0,-42.13,1001.1,-90.0,25.8,0.0,0.0,170.0,0.0,0.0,33.4,36.23,28.0,0.1,35.0,c02n,802,Scattered clouds,973.1567419392
2019-07-10 03:30:00,88.0,10.0,1.0,1001.0,n,0.0,-32.39,1000.1,-90.0,25.8,0.0,0.0,240.0,0.0,0.0,33.4,48.71,28.0,0.1,34.0,c02n,802,Scattered clouds,865.1328
2019-07-10 04:30:00,88.0,10.0,1.0,1001.0,n,0.0,-20.89,1000.1,-90.0,25.8,0.0,0.0,210.0,0.0,0.0,33.4,57.43,28.0,0.1,38.0,c02n,802,Scattered clouds,865.1328
2019-07-10 05:30:00,88.0,10.0,0.5,1001.0,n,0.0,-8.38,1000.1,-90.0,25.8,0.0,0.0,180.0,0.0,0.0,33.4,63.66,28.0,0.1,55.0,c03n,803,Broken clouds,865.1328
2019-07-10 06:30:00,94.0,10.4,0.5,1001.0,n,278.44,4.73,1000.1,-90.0,25.9,1.7,38.9374,230.0,46.27,32.22,31.2,68.22,27.0,0.1,60.0,c03n,803,Broken clouds,973.1567419392
2019-07-10 07:30:00,88.0,12.0,0.5,1001.0,d,632.15,18.22,1000.1,-77.1,25.8,2.3,217.532,250.0,261.57,70.55,33.4,71.59,28.0,0.1,63.0,c03d,803,Broken clouds,1494.9494784
2019-07-10 08:30:00,88.0,13.6,0.5,1004.1,d,776.95,31.93,942.9,-64.3,25.8,3.4,422.255,240.0,497.28,92.3,25.4,73.97,24.6,0.1,61.0,c03d,803,Broken clouds,2176.2034925568
2019-07-10 09:30:00,88.0,14.4,0.5,1003.0,d,856.04,45.78,1002.1,-51.4,25.8,4.4,586.865,250.0,713.62,106.68,33.4,75.26,28.0,0.1,64.0,c03d,803,Broken clouds,2583.272698675201
2019-07-10 10:30:00,94.0,14.8,0.5,1003.0,d,902.18,59.66,1002.1,-51.4,26.9,5.3,702.65,240.0,887.23,116.13,34.5,74.74,28.0,0.2,65.0,c03d,803,Broken clouds,2804.5805899776005
2019-07-10 11:30:00,88.0,14.8,5.0,1003.0,d,927.29,73.35,1002.1,-38.6,25.8,5.6,748.5160000000001,260.0,1001.75,121.66,33.4,68.69,28.0,0.2,71.0,c04d,804,Overcast clouds,2804.5805899776005
2019-07-10 12:30:00,94.0,15.2,1.5,1003.0,d,936.29,84.44,1002.1,-12.9,25.9,5.5,676.299,270.0,1046.91,123.72,31.2,16.97,27.0,0.2,76.0,c04d,804,Overcast clouds,3038.1802881024
2019-07-10 13:30:00,100.0,15.2,1.5,1003.0,d,930.73,76.44,1002.1,0.0,25.9,5.7,732.6110000000001,280.0,1018.76,122.44,27.3,295.15,26.0,0.2,71.0,c04d,804,Overcast clouds,3038.1802881024
2019-07-10 14:30:00,100.0,15.2,0.5,1003.0,d,909.67,62.89,1002.1,12.9,25.9,5.6,738.238,260.0,919.76,117.75,27.3,285.84,26.0,0.2,64.0,c03d,803,Broken clouds,3038.1802881024
2019-07-10 15:30:00,94.0,14.4,1.5,1002.0,d,869.14,49.02,1001.1,12.9,24.9,4.2,535.2040000000001,310.0,758.68,109.27,27.1,284.59,26.0,0.2,72.0,c04d,804,Overcast clouds,2583.272698675201
2019-07-10 16:30:00,100.0,13.2,1.5,1002.0,d,799.46,35.16,1001.1,38.6,25.9,2.7,298.144,230.0,550.45,96.18,27.3,285.57,26.0,0.2,82.0,c04d,804,Overcast clouds,1989.7777557504
2019-07-10 17:30:00,94.0,11.6,1.5,1003.3,d,675.36,21.4,941.9,51.4,25.9,1.8,152.62,100.0,316.59,76.53,24.3,287.71,23.4,0.2,85.0,c04d,804,Overcast clouds,1350.3823269888
2019-07-10 18:30:00,94.0,10.4,1.5,1002.0,d,402.12,7.84,1001.1,64.3,25.9,1.4,56.9373,250.0,90.39,44.0,31.2,290.83,27.0,0.3,77.0,c04d,804,Overcast clouds,973.1567419392
2019-07-10 19:30:00,88.0,10.8,5.0,1003.0,n,0.0,-5.39,1002.1,64.3,24.8,0.0,0.0,280.0,0.0,0.0,30.5,295.08,27.0,0.4,73.0,c04n,804,Overcast clouds,1089.8181697536004
2019-07-10 20:30:00,83.0,10.8,5.0,1003.0,n,0.0,-18.08,1002.1,77.1,24.8,0.0,0.0,280.0,0.0,0.0,32.6,300.85,28.0,0.5,73.0,c04n,804,Overcast clouds,1089.8181697536004
2019-07-10 21:30:00,94.0,10.8,1.5,1004.0,n,0.0,-29.89,1003.1,-90.0,24.9,0.0,0.0,260.0,0.0,0.0,27.1,308.88,26.0,0.5,79.0,c04n,804,Overcast clouds,1089.8181697536004
2019-07-10 22:30:00,94.0,10.4,1.5,1004.0,n,0.0,-40.15,1003.1,-90.0,24.9,0.0,0.0,310.0,0.0,0.0,27.1,320.35,26.0,0.5,90.0,c04n,804,Overcast clouds,973.1567419392
2019-07-10 23:30:00,100.0,10.0,1.5,1004.0,n,0.0,-47.73,1003.1,-90.0,25.9,0.0,0.0,240.0,0.0,0.0,27.3,336.59,26.0,0.0,95.0,c04n,804,Overcast clouds,865.1328
2019-07-11 00:30:00,80.0,9.6,5.0,1000.0,n,0.0,-51.02,1003.1,-90.0,24.1,0.0,0.0,240.0,0.0,0.0,32.1,357.4,28.0,0.4,96.0,c04n,804,Overcast clouds,765.4141329408001
2019-07-11 01:30:00,80.0,9.6,5.0,1000.0,n,0.0,-48.96,1003.1,-90.0,24.1,0.0,0.0,240.0,0.0,0.0,32.1,18.84,28.0,0.4,95.0,c04n,804,Overcast clouds,765.4141329408001
