,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Solar_Elevation,Pressure,Solar_hour_angle,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Azi_anlge,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-09 23:30:00,53,14.0,5.0,992.4,n,0.0,-37.05,967.1,-90.0,25.8,0.0,0.0,230,0.0,0.0,35.1,336.14,32.0,0.0,93.0,c04n,804,Overcast clouds,2373.9244031999997
2019-07-10 00:30:00,53,15.2,5.0,992.3,n,0.0,-40.6,966.9,-90.0,24.9,0.0,0.0,130,0.0,0.0,33.1,353.39,30.9,0.0,89.0,c04n,804,Overcast clouds,3038.1802881024
2019-07-10 01:30:00,52,14.8,5.0,992.1,n,0.0,-40.01,966.6,-90.0,23.6,0.0,0.0,130,0.0,0.0,30.9,11.61,29.7,0.0,77.0,c04n,804,Overcast clouds,2804.5805899776005
2019-07-10 02:30:00,52,14.0,0.5,992.0,n,0.0,-35.43,966.4,-90.0,23.6,0.0,0.0,230,0.0,0.0,29.4,28.2,28.6,0.0,69.0,c03n,803,Broken clouds,2373.9244031999997
2019-07-10 03:30:00,52,12.8,0.5,992.1,n,0.0,-27.73,966.5,-90.0,23.6,0.0,0.0,130,0.0,0.0,29.2,41.79,28.5,0.0,59.0,c03n,803,Broken clouds,1814.3149817856008
2019-07-10 04:30:00,52,12.4,0.5,992.2,n,0.0,-17.91,966.6,-90.0,23.6,0.0,0.0,130,0.0,0.0,29.2,52.46,28.5,0.0,55.0,c03n,803,Broken clouds,1649.4829596672002
2019-07-10 05:30:00,52,12.0,0.5,992.3,n,0.0,-6.73,966.7,-90.0,23.6,0.0,0.0,230,0.0,0.0,29.1,60.89,28.4,0.0,57.0,c03n,803,Broken clouds,1494.9494784
2019-07-10 06:30:00,74,12.4,0.5,992.5,d,301.29,5.32,966.9,-90.0,24.9,1.7,47.0985,130,53.81,34.79,33.3,67.78,28.9,0.0,59.0,c03d,803,Broken clouds,1649.4829596672002
2019-07-10 07:30:00,74,12.4,0.5,992.6,d,623.61,17.95,967.1,-77.1,24.9,2.5,230.697,130,255.83,70.44,34.7,73.69,29.5,0.0,55.0,c03d,803,Broken clouds,1649.4829596672002
2019-07-10 08:30:00,70,12.0,1.0,992.8,d,765.49,30.94,967.3,-64.3,24.9,4.4,470.015,200,479.19,91.71,35.0,79.08,30.0,0.0,34.0,c02d,802,Scattered clouds,1494.9494784
2019-07-10 09:30:00,70,11.2,1.5,992.6,d,845.49,44.17,967.2,-64.3,25.8,6.6,686.857,130,688.68,106.15,39.0,84.42,31.5,0.0,19.0,c02d,801,Few clouds,1215.4492944383999
2019-07-10 10:30:00,66,10.8,1.5,992.4,d,893.53,57.53,967.2,-38.6,25.8,8.4,860.927,130,862.2,115.92,42.1,90.51,33.1,0.0,16.0,c02d,801,Few clouds,1089.8181697536004
2019-07-10 11:30:00,66,10.0,1.5,992.2,d,921.02,70.84,967.1,-38.6,26.6,9.3,980.47,230,983.57,121.96,46.8,99.85,34.6,0.0,20.0,c02d,801,Few clouds,865.1328
2019-07-10 12:30:00,56,9.6,1.0,991.5,d,932.9,83.16,966.6,-12.9,25.8,9.3,1032.96,130,1042.07,124.68,46.9,132.62,36.3,0.0,27.0,c02d,802,Scattered clouds,765.4141329408001
2019-07-10 13:30:00,50,9.6,1.0,990.8,d,931.03,80.1,966.0,0.0,25.8,9.2,1022.4,130,1032.62,124.25,48.9,243.46,38.1,0.0,28.0,c02d,802,Scattered clouds,765.4141329408001
2019-07-10 14:30:00,45,9.2,1.0,990.1,d,915.14,67.19,965.5,12.9,25.8,7.7,926.846,230,956.03,120.64,50.8,263.36,39.8,0.0,39.0,c02d,802,Scattered clouds,673.6685297663997
2019-07-10 15:30:00,45,9.2,0.5,989.8,d,882.65,53.84,965.2,12.9,26.6,5.3,710.7810000000001,130,818.93,113.63,50.5,271.28,39.7,0.0,60.0,c03d,803,Broken clouds,673.6685297663997
2019-07-10 16:30:00,43,9.2,5.0,989.5,d,827.33,40.5,964.9,38.6,26.8,3.5,462.881,130,633.59,102.68,49.2,277.03,39.7,0.0,74.0,c04d,804,Overcast clouds,673.6685297663997
2019-07-10 17:30:00,41,9.2,5.0,989.2,d,734.61,27.32,964.6,51.4,26.9,2.2,244.5,230,417.65,86.66,47.8,282.33,39.6,0.0,84.0,c04d,804,Overcast clouds,673.6685297663997
2019-07-10 18:30:00,43,10.0,5.0,989.7,d,563.08,14.4,965.0,64.3,27.6,1.3,89.0709,180,195.44,62.66,46.1,287.81,38.5,0.0,91.0,c04d,804,Overcast clouds,865.1328
2019-07-10 19:30:00,43,11.2,5.0,990.3,n,116.24,1.9,965.5,64.3,27.6,1.0,5.3390699999999995,180,13.61,17.96,43.2,293.93,37.3,0.0,94.0,c04n,804,Overcast clouds,1215.4492944383999
2019-07-10 20:30:00,48,12.4,5.0,990.8,n,0.0,-9.96,965.9,77.1,27.8,0.0,0.0,200,0.0,0.0,42.7,301.18,36.2,0.0,91.0,c04n,804,Overcast clouds,1649.4829596672002
2019-07-10 21:30:00,53,13.2,5.0,991.4,n,0.0,-20.84,966.3,-90.0,27.6,0.0,0.0,180,0.0,0.0,41.6,310.15,34.9,0.0,84.0,c04n,804,Overcast clouds,1989.7777557504
2019-07-10 22:30:00,53,14.4,5.0,992.0,n,0.0,-30.19,966.8,-90.0,26.8,0.0,0.0,180,0.0,0.0,38.7,321.57,33.7,0.0,80.0,c04n,804,Overcast clouds,2583.272698675201
2019-07-10 23:30:00,53,15.6,5.0,992.6,n,0.0,-37.15,967.3,-90.0,25.8,0.0,0.0,230,0.0,0.0,35.9,336.04,32.4,0.0,77.0,c04n,804,Overcast clouds,3284.4040040448
