,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Solar_Elevation,Pressure,Solar_hour_angle,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Azi_anlge,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-09 23:30:00,88.0,5.2,5.0,1010.0,n,0.0,-56.79,1005.8,-90.0,24.8,0.0,0.0,250,0.0,0.0,30.0,336.17,26.8,0.0,96.0,c04n,804,Overcast clouds,121.6445927424
2019-07-10 00:30:00,88.0,5.6,5.0,1009.6,n,0.0,-59.67,1005.4,-90.0,24.8,0.0,0.0,0,0.0,0.0,29.7,2.14,26.7,0.0,85.0,c04n,804,Overcast clouds,151.93116180479998
2019-07-10 01:30:00,94.0,5.6,1.5,1009.1,n,0.0,-55.8,1004.9,-90.0,24.9,0.0,0.0,300,0.0,0.0,27.7,27.29,26.5,0.0,81.0,c04n,804,Overcast clouds,151.93116180479998
2019-07-10 02:30:00,94.0,5.6,1.5,1008.7,n,0.0,-46.98,1004.5,-90.0,22.9,0.0,0.0,250,0.0,0.0,27.6,44.6,26.4,0.0,82.0,c04n,804,Overcast clouds,151.93116180479998
2019-07-10 03:30:00,94.0,5.2,1.5,1008.4,n,0.0,-35.57,1004.2,-90.0,22.9,0.0,0.0,60,0.0,0.0,27.2,55.18,26.1,0.0,84.0,c04n,804,Overcast clouds,121.6445927424
2019-07-10 04:30:00,94.0,5.2,1.5,1008.0,n,0.0,-22.89,1003.8,-90.0,22.9,0.0,0.0,350,0.0,0.0,27.0,61.68,25.9,0.0,84.0,c04n,804,Overcast clouds,121.6445927424
2019-07-10 05:30:00,94.0,5.6,1.5,1007.7,n,0.0,-9.57,1003.4,-90.0,23.9,0.0,0.0,290,0.0,0.0,26.7,65.73,25.6,0.0,83.0,c04n,804,Overcast clouds,151.93116180479998
2019-07-10 06:30:00,94.0,5.6,1.5,1008.4,n,240.98,4.11,1004.2,-90.0,23.9,1.2,20.4468,20,37.75,29.52,27.8,68.14,26.6,0.0,82.0,c04n,804,Overcast clouds,151.93116180479998
2019-07-10 07:30:00,94.0,6.4,1.5,1009.2,d,620.43,17.95,1005.0,-77.1,23.9,1.7,138.15,250,255.06,70.75,33.1,69.21,27.6,0.0,82.0,c04d,804,Overcast clouds,226.7893727232001
2019-07-10 08:30:00,88.0,7.2,5.0,1009.9,d,769.57,31.83,1005.7,-64.3,24.8,2.4,263.17,290,492.95,93.36,35.3,68.85,28.6,0.0,85.0,c04d,804,Overcast clouds,322.9090873344001
2019-07-10 09:30:00,94.0,8.0,1.5,1009.7,d,849.4,45.58,1005.5,-51.4,23.9,3.3,369.74699999999996,280,707.85,108.0,38.5,66.43,29.1,0.0,83.0,c04d,804,Overcast clouds,442.9479936
2019-07-10 10:30:00,94.0,8.8,1.5,1009.5,d,894.96,58.88,1005.3,-38.6,24.9,4.0,440.096,330,875.81,117.4,40.8,59.84,29.7,0.0,84.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 11:30:00,94.0,8.8,1.5,1009.3,d,918.61,70.61,1005.1,-38.6,24.9,4.5,492.75300000000004,290,980.6,122.63,42.9,41.89,30.2,0.1,84.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 12:30:00,88.0,8.8,5.0,1008.7,d,925.27,75.88,1004.5,-12.9,24.8,4.7,559.248,320,1012.67,124.16,38.6,355.64,29.6,0.1,84.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 13:30:00,88.0,8.8,5.0,1008.0,d,916.17,69.03,1003.8,0.0,24.8,4.5,552.534,300,969.16,122.08,36.6,313.95,29.0,0.1,83.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 14:30:00,83.0,8.8,5.0,1007.4,d,889.61,56.91,1003.2,12.9,24.8,4.2,530.028,250,853.93,116.26,33.7,298.66,28.4,0.0,80.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 15:30:00,83.0,8.8,5.0,1007.0,d,839.9,43.5,1002.8,12.9,24.8,3.5,441.754,300,677.56,106.15,32.8,292.96,28.1,0.0,78.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 16:30:00,79.0,8.8,5.0,1006.7,d,752.72,29.71,1002.5,38.6,24.9,2.5,296.692,340,457.3,90.52,31.2,290.93,27.7,0.0,80.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 17:30:00,83.0,8.0,5.0,1006.3,d,585.72,15.82,1002.1,51.4,24.8,1.6,120.772,270,218.69,66.18,31.0,290.81,27.4,0.0,84.0,c04d,804,Overcast clouds,442.9479936
2019-07-10 18:30:00,83.0,6.8,5.0,1007.0,n,120.05,1.99,1002.8,64.3,23.9,1.1,7.3844899999999996,310,14.34,18.47,30.3,292.07,27.1,0.0,86.0,c04n,804,Overcast clouds,272.02543656959995
2019-07-10 19:30:00,83.0,6.0,5.0,1007.8,n,0.0,-11.66,1003.6,64.3,23.9,0.0,0.0,310,0.0,0.0,29.8,294.69,26.9,0.0,88.0,c04n,804,Overcast clouds,186.8686848
