,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Pressure,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-04 23:30:00,94.0,5.2,1.5,1004.0,n,0.0,1003.1,26.9,0.0,0.0,0.0,0.0,0.0,34.5,28.0,0.0,97,c04n,804,Overcast clouds,121.6445927424
2019-07-05 00:30:00,94.0,6.4,1.5,1003.0,n,0.0,1002.1,26.9,0.0,0.0,0.0,0.0,0.0,34.5,28.0,1.1,96,r01n,500,Light rain,226.7893727232001
2019-07-05 01:30:00,88.0,7.6,5.0,1003.0,n,0.0,1002.1,26.8,0.0,0.0,240.0,0.0,0.0,36.6,29.0,1.2,97,r01n,500,Light rain,379.7725360128
2019-07-05 02:30:00,83.0,9.2,5.0,1002.0,n,0.0,1001.1,25.8,0.0,0.0,220.0,0.0,0.0,35.4,29.0,1.3,97,r01n,500,Light rain,673.6685297663997
2019-07-05 03:30:00,88.0,10.0,5.0,1002.0,n,0.0,1001.1,26.8,0.0,0.0,250.0,0.0,0.0,36.6,29.0,1.4,97,r01n,500,Light rain,865.1328
2019-07-05 04:30:00,88.0,10.8,5.0,1001.0,n,0.0,1000.1,25.8,0.0,0.0,230.0,0.0,0.0,33.4,28.0,1.4,97,r01n,500,Light rain,1089.8181697536004
2019-07-05 05:30:00,83.0,10.8,5.0,1001.0,n,0.0,1000.1,25.8,0.0,0.0,230.0,0.0,0.0,35.4,29.0,1.7,97,r01n,500,Light rain,1089.8181697536004
2019-07-05 06:30:00,88.0,10.8,5.0,1001.0,n,284.34,1000.1,26.8,0.9,12.8533,230.0,47.66,32.61,36.6,29.0,1.7,97,r01n,500,Light rain,1089.8181697536004
2019-07-05 07:30:00,88.0,11.2,5.0,1002.0,d,633.56,1001.1,26.8,1.5,113.659,220.0,261.96,70.41,36.6,29.0,1.4,90,r01d,500,Light rain,1215.4492944383999
2019-07-05 08:30:00,83.0,12.4,5.0,1003.2,d,777.51,935.1,26.8,3.1,382.578,230.0,496.46,91.97,24.8,24.2,1.4,69,r01d,500,Light rain,1649.4829596672002
2019-07-05 09:30:00,83.0,12.8,5.0,1002.0,d,856.37,1001.1,26.8,4.5,604.631,240.0,712.06,106.26,38.5,30.0,1.2,61,r01d,500,Light rain,1814.3149817856008
2019-07-05 10:30:00,89.0,12.8,5.0,1002.0,d,902.51,1001.1,27.9,5.1,682.4689999999998,260.0,885.62,115.69,40.4,30.0,1.2,69,r01d,500,Light rain,1814.3149817856008
2019-07-05 11:30:00,84.0,12.8,5.0,1002.0,d,927.76,1001.1,27.9,5.5,735.477,260.0,1000.79,121.24,42.3,31.0,1.1,72,r01d,500,Light rain,1814.3149817856008
2019-07-05 12:30:00,83.0,13.2,5.0,1003.0,d,937.01,1002.1,24.8,5.6,742.55,250.0,1047.3,123.35,32.6,28.0,1.2,74,r01d,500,Light rain,1989.7777557504
2019-07-05 13:30:00,94.0,12.8,1.5,1002.0,d,931.86,1001.1,25.9,4.0,303.05,280.0,1021.09,122.17,31.2,27.0,1.4,93,r01d,500,Light rain,1814.3149817856008
2019-07-05 14:30:00,94.0,12.4,1.5,1002.0,d,911.42,1001.1,25.9,3.5,225.592,280.0,924.43,117.61,31.2,27.0,1.5,95,r01d,500,Light rain,1649.4829596672002
2019-07-05 15:30:00,83.0,11.6,5.0,1001.0,d,871.93,1000.1,24.8,2.8,225.909,260.0,765.87,109.34,32.6,28.0,1.8,96,r01d,500,Light rain,1350.3823269888
2019-07-05 16:30:00,83.0,10.4,5.0,1001.0,d,804.15,1000.1,26.8,2.1,151.033,240.0,560.03,96.57,38.5,30.0,1.8,97,r01d,500,Light rain,973.1567419392
2019-07-05 17:30:00,100.0,10.0,1.5,1001.0,d,684.33,933.2,26.9,1.5,61.8208,140.0,327.89,77.46,25.9,24.8,1.7,97,r01d,500,Light rain,865.1328
2019-07-05 18:30:00,94.0,9.6,1.5,1000.0,d,426.47,999.1,25.9,1.0,19.1143,270.0,101.38,46.27,31.2,27.0,1.4,97,r01d,500,Light rain,765.4141329408002
2019-07-05 19:30:00,94.0,9.2,1.5,1000.0,n,0.0,999.1,24.9,0.0,0.0,260.0,0.0,0.0,27.1,26.0,1.2,96,r01n,500,Light rain,673.6685297663997
2019-07-05 20:30:00,94.0,8.8,1.5,1001.0,n,0.0,1000.1,25.9,0.0,0.0,190.0,0.0,0.0,31.2,27.0,1.2,95,r01n,500,Light rain,589.5637794816001
2019-07-05 21:30:00,88.0,8.8,5.0,1001.0,n,0.0,1000.1,26.8,0.0,0.0,250.0,0.0,0.0,36.6,29.0,1.1,94,r01n,500,Light rain,589.5637794816001
