,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Pressure,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-09 23:30:00,74.0,6.8,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,95.0,c04n,804,Overcast clouds,272.02543656959995
2019-07-10 00:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,90.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 01:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,90.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 02:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,90.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 03:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,90.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 04:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.0,89.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 05:30:00,74.0,6.4,5.0,1000.0,n,0.0,998.8,24.9,0.0,0.0,200.0,0.0,0.0,36.0,30.0,0.1,91.0,c04n,804,Overcast clouds,226.7893727232001
2019-07-10 06:30:00,74.0,6.0,5.0,1000.0,d,333.15,998.8,24.9,1.1,30.5567,200.0,64.22,37.79,36.0,30.0,0.1,90.0,c04d,804,Overcast clouds,186.8686848
2019-07-10 07:30:00,74.0,7.6,5.0,1000.0,d,643.05,998.8,24.9,1.6,143.32,200.0,278.63,73.05,36.0,30.0,0.1,88.0,c04d,804,Overcast clouds,379.7725360128
2019-07-10 08:30:00,74.0,8.0,5.0,1000.0,d,779.27,998.8,24.9,2.3,262.048,200.0,509.45,94.01,36.0,30.0,0.1,88.0,c04d,804,Overcast clouds,442.9479936000001
2019-07-10 09:30:00,74.0,8.0,5.0,1000.0,d,855.54,998.8,24.9,3.1,357.219,200.0,721.14,108.07,36.0,30.0,0.2,89.0,c04d,804,Overcast clouds,442.9479936000001
2019-07-10 10:30:00,74.0,8.0,5.0,1000.0,d,900.63,998.8,24.9,3.7,424.15,200.0,891.42,117.39,36.0,30.0,0.2,90.0,c04d,804,Overcast clouds,442.9479936000001
2019-07-10 11:30:00,74.0,8.4,5.0,1000.0,d,925.42,998.8,24.9,4.0,437.043,200.0,1004.37,122.9,36.0,30.0,0.3,92.0,c04d,804,Overcast clouds,512.7676710912001
2019-07-10 12:30:00,74.0,8.8,5.0,1000.0,d,934.53,998.8,24.9,4.1,411.893,200.0,1049.97,124.99,36.0,30.0,0.3,94.0,c04d,804,Overcast clouds,589.5637794816001
2019-07-10 13:30:00,74.0,9.2,5.0,1000.0,d,929.44,998.8,24.9,4.0,424.023,200.0,1024.23,123.82,36.0,30.0,0.3,93.0,c04d,804,Overcast clouds,673.6685297663997
2019-07-10 14:30:00,74.0,9.6,5.0,1000.0,d,909.34,998.8,24.9,3.6,384.756,200.0,929.38,119.3,36.0,30.0,0.3,93.0,c04d,804,Overcast clouds,765.4141329408003
2019-07-10 15:30:00,74.0,9.6,5.0,1000.0,d,870.66,998.8,24.9,3.1,336.699,200.0,773.77,111.1,36.0,30.0,0.2,92.0,c04d,804,Overcast clouds,765.4141329408003
2019-07-10 16:30:00,74.0,9.6,5.0,1000.0,d,804.83,998.8,24.9,2.4,248.753,200.0,571.66,98.5,36.0,30.0,0.2,92.0,c04d,804,Overcast clouds,765.4141329408003
