,wind_cdir,rh,pod,pres,solar_rad,ozone,wind_gust_spd,snow_depth,clouds,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,temp,ghi,clouds_mid,clouds_low,Icon,Code,Description
2020-07-14 00:30:00,W,81,n,938.171,0,262.727,9.50926,0,100,6.14942,45,west,1007.33,0,20.1,0,264,100,0.75,12.163,0,24.2,23.7,0,100,5,t02n,201,Thunderstorm with rain
2020-07-14 01:30:00,W,82,n,937.603,0,261.901,8.60984,0,100,5.64215,50,west,1006.74,0,20.3,0,263,100,1,11.9363,0,24,23.4,0,100,16,t02n,201,Thunderstorm with rain
2020-07-14 02:30:00,W,83,n,936.994,0,262.302,8.71753,0,100,5.84222,40,west,1006.04,0,20.2,0,264,100,0.625,12.4287,0,23.7,23.2,0,100,32,t02n,201,Thunderstorm with rain
2020-07-14 03:30:00,W,85,n,936.271,0,263.053,8.52473,0,100,5.57768,50,west,1005.49,0,20.3,0,265,100,0.9375,7.53513,0,23.5,22.9,0,100,43,t02n,201,Thunderstorm with rain
2020-07-14 04:30:00,W,87,n,936.348,0,266.2,9.21983,0,100,6.00736,55,west,1005.76,0,20.3,0,266,100,1.3125,10.7142,0,23.2,22.6,0,100,50,t02n,201,Thunderstorm with rain
2020-07-14 05:30:00,W,87,n,937.021,0,266.833,9.80698,0,100,5.86515,45,west,1006.31,0,20.4,0,268,100,0.75,24.1311,0,23.3,22.7,0,100,45,t02n,201,Thunderstorm with rain
2020-07-14 06:30:00,W,85,d,937.418,8.1301,267.594,9.90024,0,100,5.7696,20,west,1006.91,265.57,20.4,0.696538,266,100,0.25,24.1349,31.06,23.5,22.9,42.79,100,11,c04d,804,Overcast clouds
2020-07-14 07:30:00,W,84,d,937.867,48.9801,266.08,9.92439,0,100,6.55031,0,west,1007.36,629,20.5,0.802125,266,98,0,24.1351,70.13,23.9,23.3,257.79,94,21,c04d,804,Overcast clouds
2020-07-14 08:30:00,W,82,d,938.266,93.9398,265.707,9.21925,0,100,6.68142,15,west,1007.79,775.85,20.6,1.178,266,99,0.0625,24.134,92.1,24.6,24,494.42,88,39,c04d,804,Overcast clouds
2020-07-14 09:30:00,W,80,d,938.701,154.639,266.2,9.00274,0,99,6.42567,0,west,1008.13,855.73,20.6,1.87635,266,85,0,24.1337,106.6,24.8,24.3,711.93,78,52,c04d,804,Overcast clouds
