,wind_cdir,rh,pod,pres,solar_rad,ozone,wind_gust_spd,snow_depth,clouds,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,temp,ghi,clouds_mid,clouds_low,Icon,Code,Description
2020-07-14 00:30:00,WSW,78,n,962.283,0,259.527,12.7093,0,87,7.76926,0,west-southwest,1004.2,0,22.4,0,250,87,0,24.135,0,27.2,26.5,0,0,0,c04n,804,Overcast clouds
2020-07-14 01:30:00,WSW,79,n,962.067,0,259.701,12.9098,0,76,8.06867,0,west-southwest,1004.01,0,22.1,0,252,76,0,24.1347,0,26.9,26.1,0,0,0,c04n,804,Overcast clouds
2020-07-14 02:30:00,WSW,79,n,961.81,0,261.902,13.0175,0,84,8.36421,0,west-southwest,1003.66,0,22,0,253,84,0,24.1351,0,26.5,25.8,0,0,0,c04n,804,Overcast clouds
2020-07-14 03:30:00,WSW,80,n,961.103,0,264.053,13.3247,0,88,8.71312,0,west-southwest,1003.03,0,22,0,253,88,0,24.1347,0,26.3,25.6,0,0,0,c04n,804,Overcast clouds
2020-07-14 04:30:00,WSW,81,n,961.084,0,265.2,13.5198,0,90,8.86914,0,west-southwest,1003.24,0,22,0,255,90,0,24.1354,0,26.1,25.4,0,0,0,c04n,804,Overcast clouds
2020-07-14 05:30:00,WSW,82,n,961.773,0,265.033,13.507,0,92,8.80714,0,west-southwest,1003.9,0,22,0,258,92,0,24.1351,0,26,25.3,0,0,0,c04n,804,Overcast clouds
2020-07-14 06:30:00,WSW,82,d,962.218,11.3943,265.994,13.3002,0,100,8.79596,0,west-southwest,1004.41,320.71,21.9,0.700222,256,100,0,24.1349,36.61,26,25.3,59.97,0,0,c04d,804,Overcast clouds
2020-07-14 07:30:00,WSW,80,d,962.539,68.5325,266.88,12.6244,0,100,8.91401,0,west-southwest,1004.65,639.5,22.1,0.817997,258,100,0,24.1351,72.56,26.6,25.8,274.13,0,0,c04d,804,Overcast clouds
2020-07-14 08:30:00,W,76,d,962.954,126.45,269.407,11.8193,0,100,8.8353,0,west,1004.95,777.85,22.1,1.20285,261,100,0,24.1352,93.75,28.8,26.7,505.8,0,0,c04d,804,Overcast clouds
2020-07-14 09:30:00,W,72,d,963.389,179.65,269.5,10.8027,0,100,8.49074,0,west,1005.2,854.99,22.4,1.86136,264,100,0,24.1349,107.94,30.7,27.9,718.6,0,0,c04d,804,Overcast clouds
2020-07-14 10:30:00,W,68,d,963.463,222.503,269.76,9.64256,0,100,7.8666,0,west,1005.03,900.52,22.6,2.63747,267,100,0,24.1352,117.34,32.4,29.1,890.01,0,0,c04d,804,Overcast clouds
2020-07-14 11:30:00,W,63,d,963.09,250.992,265.94,9.11956,0,100,7.61331,0,west,1004.49,925.57,22.6,3.29083,266,100,0,24.1353,122.9,34.1,30.3,1003.97,0,4,c04d,804,Overcast clouds
2020-07-14 12:30:00,W,60,d,962.187,262.582,264.386,8.70017,0,100,7.45645,0,west,1003.53,934.84,22.5,3.58894,268,100,0,24.1347,125.04,35.4,31.3,1050.33,0,65,c04d,804,Overcast clouds
2020-07-14 13:30:00,W,60,d,961.441,355.896,263.668,9.01419,0,96,8.09123,35,west,1002.65,929.84,22.7,3.73062,268,81,0.5625,7.65741,123.88,35.5,31.3,1025.06,0,66,t02d,201,Thunderstorm with rain
2020-07-14 14:30:00,W,59,d,960.707,512.512,262.349,9.528,0,86,8.5613,40,west,1001.8,909.79,22.7,3.75365,269,71,0.625,24.1352,119.37,35.9,31.6,930.34,0,54,t02d,201,Thunderstorm with rain
2020-07-14 15:30:00,W,59,d,960.061,412.717,263.721,10.104,0,87,9.22868,0,west,1001.29,871.08,22.7,2.70101,265,76,0,24.1349,111.16,35.8,31.5,774.5,0,48,c04d,804,Overcast clouds
2020-07-14 16:30:00,W,63,d,960.093,272.099,263.465,10.6003,0,90,9.32638,0,west,1001.43,805.1,22.6,1.68657,261,81,0,24.1351,98.53,34.3,30.4,571.86,0,42,c04d,804,Overcast clouds
2020-07-14 17:30:00,W,66,d,960.162,149.171,265.137,10.5089,0,92,9.11592,15,west,1001.59,690.22,22.6,1.06352,262,83,0.0625,24.1351,79.79,33.3,29.6,342.81,0,40,c04d,804,Overcast clouds
2020-07-14 18:30:00,W,71,d,960.641,29.375,265.568,10.526,0,100,8.84219,0,west,1001.93,452.73,22.6,0.714519,259,100,0,24.1348,49.92,31.4,28.3,117.5,5,14,c04d,804,Overcast clouds
2020-07-14 19:30:00,WSW,75,n,961.061,0,265.063,11.7019,0,100,8.82006,0,west-southwest,1002.54,0,22.6,0,256,100,0,24.135,0,30,27.3,0,13,7,c04n,804,Overcast clouds
