,Humidity,Wind_Speed,Visibility,Sea_level_pres,day/night,Normal_irradiance,Pressure,Dew_Point,UV_index,Solar_Rad,Wind_Direction,Global_irradiance,Direct_irradiance,Avg_temp,Temperature,Precipitation,Clouds,Icon,Code,Description,Energy
2019-07-09 23:30:00,53,14.0,5.0,992.4,n,0.0,967.1,25.8,0.0,0.0,230,0.0,0.0,35.1,32.0,0.0,93.0,c04n,804,Overcast clouds,2373.9244031999997
2019-07-10 00:30:00,53,15.2,5.0,992.3,n,0.0,966.9,24.9,0.0,0.0,130,0.0,0.0,33.1,30.9,0.0,89.0,c04n,804,Overcast clouds,3038.1802881024
2019-07-10 01:30:00,52,14.8,5.0,992.1,n,0.0,966.6,23.6,0.0,0.0,130,0.0,0.0,30.9,29.7,0.0,77.0,c04n,804,Overcast clouds,2804.5805899776005
2019-07-10 02:30:00,52,14.0,0.5,992.0,n,0.0,966.4,23.6,0.0,0.0,230,0.0,0.0,29.4,28.6,0.0,69.0,c03n,803,Broken clouds,2373.9244031999997
2019-07-10 03:30:00,52,12.8,0.5,992.1,n,0.0,966.5,23.6,0.0,0.0,130,0.0,0.0,29.2,28.5,0.0,59.0,c03n,803,Broken clouds,1814.3149817856008
2019-07-10 04:30:00,52,12.4,0.5,992.2,n,0.0,966.6,23.6,0.0,0.0,130,0.0,0.0,29.2,28.5,0.0,55.0,c03n,803,Broken clouds,1649.4829596672002
2019-07-10 05:30:00,52,12.0,0.5,992.3,n,0.0,966.7,23.6,0.0,0.0,230,0.0,0.0,29.1,28.4,0.0,57.0,c03n,803,Broken clouds,1494.9494784
2019-07-10 06:30:00,74,12.4,0.5,992.5,d,301.29,966.9,24.9,1.7,47.0985,130,53.81,34.79,33.3,28.9,0.0,59.0,c03d,803,Broken clouds,1649.4829596672002
2019-07-10 07:30:00,74,12.4,0.5,992.6,d,623.61,967.1,24.9,2.5,230.697,130,255.83,70.44,34.7,29.5,0.0,55.0,c03d,803,Broken clouds,1649.4829596672002
2019-07-10 08:30:00,70,12.0,1.0,992.8,d,765.49,967.3,24.9,4.4,470.015,200,479.19,91.71,35.0,30.0,0.0,34.0,c02d,802,Scattered clouds,1494.9494784
2019-07-10 09:30:00,70,11.2,1.5,992.6,d,845.49,967.2,25.8,6.6,686.857,130,688.68,106.15,39.0,31.5,0.0,19.0,c02d,801,Few clouds,1215.4492944383999
2019-07-10 10:30:00,66,10.8,1.5,992.4,d,893.53,967.2,25.8,8.4,860.927,130,862.2,115.92,42.1,33.1,0.0,16.0,c02d,801,Few clouds,1089.8181697536004
2019-07-10 11:30:00,66,10.0,1.5,992.2,d,921.02,967.1,26.6,9.3,980.47,230,983.57,121.96,46.8,34.6,0.0,20.0,c02d,801,Few clouds,865.1328
2019-07-10 12:30:00,56,9.6,1.0,991.5,d,932.9,966.6,25.8,9.3,1032.96,130,1042.07,124.68,46.9,36.3,0.0,27.0,c02d,802,Scattered clouds,765.4141329408003
2019-07-10 13:30:00,50,9.6,1.0,990.8,d,931.03,966.0,25.8,9.2,1022.4,130,1032.62,124.25,48.9,38.1,0.0,28.0,c02d,802,Scattered clouds,765.4141329408003
