,wind_cdir,rh,pod,pres,solar_rad,ozone,wind_gust_spd,snow_depth,clouds,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,temp,ghi,clouds_mid,clouds_low,Icon,Code,Description
2020-07-14 01:30:00,SW,59,n,976.611,0,269.801,12.0098,0,0,8.21799,0,southwest,996.877,0,22.6,0,221,0,0,24.1347,0,35.6,31.4,0,0,0,c01n,800,Clear Sky
2020-07-14 02:30:00,SW,61,n,976.354,0,269.302,12.1175,0,1,8.4361,0,southwest,996.802,0,22.8,0,227,1,0,24.1351,0,35.4,31.2,0,0,0,c01n,800,Clear Sky
2020-07-14 03:30:00,SW,60,n,976.127,0,269.253,12.6247,0,0,8.59748,0,southwest,996.616,0,22.4,0,224,0,0,24.1347,0,34.6,30.8,0,0,0,c01n,800,Clear Sky
2020-07-14 04:30:00,SW,61,n,976.476,0,271,11.7198,0,0,7.90757,0,southwest,997.005,0,21.9,0,225,0,0,24.1354,0,33.6,30.3,0,0,0,c01n,800,Clear Sky
2020-07-14 05:30:00,SW,63,n,977.229,0,272.533,11.007,0,0,7.61436,0,southwest,997.779,0,22,0,233,0,0,24.1351,0,32.8,29.7,0,0,0,c01n,800,Clear Sky
2020-07-14 06:30:00,SW,65,d,978.026,49.04,272.294,10.1002,0,0,7.03176,0,southwest,998.692,285.34,21.9,2.2346,234,0,0,24.1349,33.3,32.2,29.2,49.04,0,0,c01d,800,Clear Sky
2020-07-14 07:30:00,SW,63,d,978.555,250.38,272.68,8.82439,0,0,6.84762,0,southwest,999.139,618.86,21.9,2.54657,232,0,0,24.1351,69.8,32.7,29.6,250.38,0,0,c01d,800,Clear Sky
2020-07-14 08:30:00,SW,57,d,978.826,474.41,271.207,7.91925,0,0,6.56574,0,southwest,999.616,763.42,21.6,3.64535,230,0,0,24.1352,91.35,34.2,31,474.41,0,0,c01d,800,Clear Sky
2020-07-14 09:30:00,SW,49,d,979.085,684.9,272,6.70274,0,0,6.22343,0,southwest,999.904,844.5,21.1,5.59132,220,0,0,24.1349,105.94,36,32.9,684.9,0,0,c01d,800,Clear Sky
2020-07-14 10:30:00,SSW,43,d,979.047,859.48,272.36,5.34256,0,0,5.13301,0,south-southwest,999.824,893.09,20.6,7.99862,209,0,0,24.1352,115.81,37.5,34.7,859.48,0,0,c01d,800,Clear Sky
2020-07-14 11:30:00,SSW,38,d,978.53,981.84,272.14,4.81956,0,0,4.76184,0,south-southwest,999.275,920.88,19.8,10.1618,198,0,0,24.1353,121.9,39,36.4,981.84,0,0,c01d,800,Clear Sky
2020-07-14 12:30:00,SSW,33,d,977.723,1041.13,271.386,5.00017,0,0,4.91066,0,south-southwest,998.458,932.95,19,11.3614,193,0,0,24.1347,124.66,40.4,38,1041.13,0,0,c01d,800,Clear Sky
2020-07-14 13:30:00,SSW,30,d,976.689,1032.19,268.968,4.71419,0,0,5.03229,0,south-southwest,997.327,931.18,18.5,11.1819,194,0,0,24.135,124.25,41.3,39.1,1032.19,0,0,c01d,800,Clear Sky
2020-07-14 14:30:00,SSW,28,d,975.795,955.8,268.749,4.328,0,0,5.22916,0,south-southwest,996.331,915.31,18,9.67789,194,0,0,24.1352,120.65,42.1,40,955.8,0,0,c01d,800,Clear Sky
2020-07-14 15:30:00,SSW,26,d,975.166,818.58,268.421,3.90401,0,0,4.95069,0,south-southwest,995.586,882.77,17.6,7.37772,192,0,0,24.1349,113.63,42.4,40.5,818.58,0,0,c01d,800,Clear Sky
2020-07-14 16:30:00,SSW,25,d,974.621,632.81,268.165,3.30034,0,0,4.80285,0,south-southwest,994.85,827.26,17.3,5.02888,194,0,0,24.1351,102.65,42.3,40.6,632.81,0,0,c01d,800,Clear Sky
2020-07-14 17:30:00,SSW,25,d,974.482,416.23,267.537,3.40892,0,0,5.12528,0,south-southwest,994.541,734.01,17,3.28359,196,0,0,24.1351,86.56,42,40.5,416.23,0,0,c01d,800,Clear Sky
2020-07-14 18:30:00,SSW,26,d,974.353,193.35,268.268,3.92603,0,0,5.35899,0,south-southwest,994.242,560.78,16.9,2.4167,194,0,0,24.1348,62.37,41.3,39.9,193.35,0,0,c01d,800,Clear Sky
2020-07-14 19:30:00,S,28,d,974.773,12.01,269.963,5.90189,0,0,4.86866,0,south,994.515,104.93,17,2.23381,189,0,0,24.135,16.9,39.9,38.7,12.01,0,0,c01d,800,Clear Sky
2020-07-14 20:30:00,S,30,n,975.247,0,270.445,7.84947,0,0,5.22037,0,south,994.896,0,17.1,0,182,0,0,24.135,0,38.2,37.3,0,0,0,c01n,800,Clear Sky
