,wind_cdir,rh,pod,pres,solar_rad,ozone,wind_gust_spd,snow_depth,clouds,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,temp,ghi,clouds_mid,clouds_low,Icon,Code,Description
2020-07-14 01:30:00,WNW,77,n,987.811,0,267.101,10.8098,0,58,5.06082,0,west-northwest,1006.16,0,21.6,0,286,58,0,24.1347,0,26.7,26.1,0,8,0,c03n,803,Broken clouds
2020-07-14 02:30:00,WNW,76,n,986.882,0,265.802,11.0175,0,61,5.79868,0,west-northwest,1005.17,0,21.4,0,289,61,0,24.1351,0,26.5,25.9,0,6,0,c03n,803,Broken clouds
2020-07-14 03:30:00,WNW,76,n,986.767,0,265.953,11.1247,0,71,6.11549,0,west-northwest,1005.03,0,21.3,0,290,71,0,24.1347,0,26.5,25.8,0,7,0,c04n,804,Overcast clouds
2020-07-14 04:30:00,WNW,75,n,987.052,0,266.6,11.1198,0,77,6.14349,0,west-northwest,1005.37,0,21.1,0,289,77,0,24.1354,0,26.4,25.8,0,7,0,c04n,804,Overcast clouds
2020-07-14 05:30:00,WNW,76,n,987.597,0,267.333,9.90698,0,80,5.14383,0,west-northwest,1005.88,0,21.2,0,289,80,0,24.1351,0,26.2,25.6,0,8,0,c04n,804,Overcast clouds
2020-07-14 06:30:00,WNW,77,d,987.978,8.875,268.794,9.70024,0,100,4.78869,0,west-northwest,1006.48,231.67,21.2,0.694759,289,100,0,24.1349,28.67,26.2,25.6,35.5,12,0,c04d,804,Overcast clouds
2020-07-14 07:30:00,WNW,70,d,988.475,63.2225,267.98,9.92439,0,100,5.45871,0,west-northwest,1007.05,618.62,21.2,0.796627,293,100,0,24.1351,70.5,28.8,26.9,252.89,6,0,c04d,804,Overcast clouds
2020-07-14 08:30:00,WNW,62,d,988.89,135.36,267.807,9.71925,0,99,6.48033,0,west-northwest,1007.5,769.25,20.9,1.19958,296,99,0,24.1352,93.29,31.1,28.8,491.87,4,0,c04d,804,Overcast clouds
2020-07-14 09:30:00,WNW,56,d,989.021,194.849,267.6,8.60274,0,99,6.19397,0,west-northwest,1007.67,849.67,20.9,1.86634,295,99,0,24.1349,108.04,32.9,30.5,708.04,3,0,c04d,804,Overcast clouds
2020-07-14 10:30:00,WNW,52,d,989.079,241.41,265.96,7.64256,0,99,5.47968,0,west-northwest,1007.89,895.52,20.9,2.63651,296,99,0,24.1352,117.5,34.8,32,877.23,2,0,c04d,804,Overcast clouds
2020-07-14 11:30:00,WNW,48,d,989.026,270.536,264.94,7.01956,0,99,4.88547,0,west-northwest,1007.77,919.36,20.8,3.23976,302,99,0,24.1353,122.78,36.3,33.4,983.07,2,0,c04d,804,Overcast clouds
2020-07-14 12:30:00,WNW,43,d,988.187,253.98,263.986,6.90017,0,100,5.01919,0,west-northwest,1007.06,926.17,20,3.37251,296,100,0,24.1347,124.33,36.6,34.2,1015.92,0,0,c04d,804,Overcast clouds
2020-07-14 13:30:00,WNW,41,d,987.009,243.202,263.968,6.81419,0,100,5.16418,0,west-northwest,1005.99,917.19,19.5,3.10879,294,100,0,24.135,122.28,36.8,34.6,972.81,0,0,c04d,804,Overcast clouds
