,wind_cdir,rh,pod,pres,solar_rad,ozone,wind_gust_spd,snow_depth,clouds,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,temp,ghi,clouds_mid,clouds_low,Icon,Code,Description
2020-07-14 01:30:00,W,90,n,923.315,0,261.201,6.80984,0,100,2.84266,35,west,1006.7,0,20.1,0,263,100,0.5,9.03995,0,22.3,21.8,0,100,53,c04n,804,Overcast clouds
2020-07-14 02:30:00,W,91,n,922.738,0,261.702,6.41753,0,100,2.93073,35,west,1006.05,0,20.1,0,260,100,0.5625,11.9063,0,22.3,21.7,0,95,63,d02n,301,Drizzle
2020-07-14 03:30:00,W,91,n,921.887,0,261.853,6.62473,0,100,3.2546,15,west,1005.47,0,20.2,0,264,100,0.1875,11.3619,0,22.3,21.7,0,96,70,c04n,804,Overcast clouds
2020-07-14 04:30:00,W,91,n,922.028,0,262.7,6.01983,0,100,2.77744,15,west,1005.67,0,20.3,0,262,100,0.1875,10.8578,0,22.4,21.8,0,95,74,c04n,804,Overcast clouds
2020-07-14 05:30:00,WSW,92,n,922.669,0,264.933,4.10698,0,100,1.95194,25,west-southwest,1006.17,0,20.3,0,256,100,0.3125,9.66305,0,22.4,21.8,0,96,77,c04n,804,Overcast clouds
2020-07-14 06:30:00,WSW,92,d,923.226,3.973,266.094,3.30024,0,100,1.83984,35,west-southwest,1006.78,254.53,20.3,0.697723,249,100,0.5625,7.4873,29.93,22.2,21.6,39.73,100,85,d02d,301,Drizzle
2020-07-14 07:30:00,WSW,92,d,923.755,25.303,266.48,4.12439,0,100,2.35385,35,west-southwest,1007.27,625.93,20.4,0.79707,246,100,0.5,13.6467,69.39,22.3,21.6,253.03,100,85,c04d,804,Overcast clouds
2020-07-14 08:30:00,WSW,90,d,924.042,92.9727,265.207,3.91925,0,100,2.34408,10,west-southwest,1007.69,774.57,20.3,1.16636,252,100,0.125,12.2604,91.46,22.7,22.1,489.33,100,84,c04d,804,Overcast clouds
2020-07-14 09:30:00,WSW,85,d,924.397,134.406,266.1,4.80274,0,100,2.53466,10,west-southwest,1008.05,855.29,20.4,1.81706,254,100,0.125,11.6161,106.02,23.6,23,707.4,100,85,c04d,804,Overcast clouds
2020-07-14 10:30:00,WSW,86,d,924.391,167.873,265.16,6.54256,0,100,3.53439,15,west-southwest,1008.16,902.38,20.6,2.60115,258,100,0.1875,11.5936,115.62,23.8,23.2,883.54,100,85,c04d,804,Overcast clouds
